,variance of Wavelet Transformed image,skewness of Wavelet Transformed image,curtosis of Wavelet Transformed image,entropy of image,label
412,-1.0,-1.0,-1.0,-1.0,-1
413,-1.0,-1.0,-1.0,-1.0,-1
414,-1.0,-1.0,-1.0,-1.0,-1
415,-1.0,-1.0,-1.0,-1.0,-1
416,-1.0,-1.0,-1.0,-1.0,-1
417,-1.0,-1.0,-1.0,-1.0,-1
418,-1.0,-1.0,-1.0,-1.0,-1
419,-1.0,-1.0,-1.0,-1.0,-1
420,-1.0,-1.0,-1.0,-1.0,-1
421,-1.0,-1.0,-1.0,-1.0,-1
422,-1.0,-1.0,-1.0,-1.0,-1
423,-1.0,-1.0,-1.0,-1.0,-1
424,-1.0,-1.0,-1.0,-1.0,-1
425,-1.0,-1.0,-1.0,-1.0,-1
426,-1.0,-1.0,-1.0,-1.0,-1
427,-1.0,-1.0,-1.0,-1.0,-1
428,-1.0,-1.0,-1.0,-1.0,-1
429,-1.0,-1.0,-1.0,-1.0,-1
430,-1.0,-1.0,-1.0,-1.0,-1
431,-1.0,-1.0,-1.0,-1.0,-1
432,-1.0,-1.0,-1.0,-1.0,-1
433,-1.0,-1.0,-1.0,-1.0,-1
434,-1.0,-1.0,-1.0,-1.0,-1
435,-1.0,-1.0,-1.0,-1.0,-1
436,-1.0,-1.0,-1.0,-1.0,-1
437,-1.0,-1.0,-1.0,-1.0,-1
438,-1.0,-1.0,-1.0,-1.0,-1
439,-1.0,-1.0,-1.0,-1.0,-1
440,-1.0,-1.0,-1.0,-1.0,-1
441,-1.0,-1.0,-1.0,-1.0,-1
442,-1.0,-1.0,-1.0,-1.0,-1
443,-1.0,-1.0,-1.0,-1.0,-1
444,-1.0,-1.0,-1.0,-1.0,-1
445,-1.0,-1.0,-1.0,-1.0,-1
446,-1.0,-1.0,-1.0,-1.0,-1
447,-1.0,-1.0,-1.0,-1.0,-1
448,-1.0,-1.0,-1.0,-1.0,-1
449,-1.0,-1.0,-1.0,-1.0,-1
450,-1.0,-1.0,-1.0,-1.0,-1
451,-1.0,-1.0,-1.0,-1.0,-1
452,-1.0,-1.0,-1.0,-1.0,-1
453,-1.0,-1.0,-1.0,-1.0,-1
454,-1.0,-1.0,-1.0,-1.0,-1
455,-1.0,-1.0,-1.0,-1.0,-1
456,-1.0,-1.0,-1.0,-1.0,-1
457,-1.0,-1.0,-1.0,-1.0,-1
458,-1.0,-1.0,-1.0,-1.0,-1
459,-1.0,-1.0,-1.0,-1.0,-1
460,-1.0,-1.0,-1.0,-1.0,-1
461,-1.0,-1.0,-1.0,-1.0,-1
462,-1.0,-1.0,-1.0,-1.0,-1
463,-1.0,-1.0,-1.0,-1.0,-1
464,-1.0,-1.0,-1.0,-1.0,-1
465,-1.0,-1.0,-1.0,-1.0,-1
466,-1.0,-1.0,-1.0,-1.0,-1
467,-1.0,-1.0,-1.0,-1.0,-1
468,-1.0,-1.0,-1.0,-1.0,-1
469,-1.0,-1.0,-1.0,-1.0,-1
470,-1.0,-1.0,-1.0,-1.0,-1
471,-1.0,-1.0,-1.0,-1.0,-1
472,-1.0,-1.0,-1.0,-1.0,-1
473,-1.0,-1.0,-1.0,-1.0,-1
474,-1.0,-1.0,-1.0,-1.0,-1
475,-1.0,-1.0,-1.0,-1.0,-1
476,-1.0,-1.0,-1.0,-1.0,-1
477,-1.0,-1.0,-1.0,-1.0,-1
478,-1.0,-1.0,-1.0,-1.0,-1
479,-1.0,-1.0,-1.0,-1.0,-1
480,-1.0,-1.0,-1.0,-1.0,-1
481,-1.0,-1.0,-1.0,-1.0,-1
482,-1.0,-1.0,-1.0,-1.0,-1
483,-1.0,-1.0,-1.0,-1.0,-1
484,-1.0,-1.0,-1.0,-1.0,-1
485,-1.0,-1.0,-1.0,-1.0,-1
486,-1.0,-1.0,-1.0,-1.0,-1
487,-1.0,-1.0,-1.0,-1.0,-1
488,-1.0,-1.0,-1.0,-1.0,-1
489,-1.0,-1.0,-1.0,-1.0,-1
490,-1.0,-1.0,-1.0,-1.0,-1
491,-1.0,-1.0,-1.0,-1.0,-1
492,-1.0,-1.0,-1.0,-1.0,-1
493,-1.0,-1.0,-1.0,-1.0,-1
494,-1.0,-1.0,-1.0,-1.0,-1
495,-1.0,-1.0,-1.0,-1.0,-1
496,-1.0,-1.0,-1.0,-1.0,-1
497,-1.0,-1.0,-1.0,-1.0,-1
498,-1.0,-1.0,-1.0,-1.0,-1
499,-1.0,-1.0,-1.0,-1.0,-1
500,-1.0,-1.0,-1.0,-1.0,-1
501,-1.0,-1.0,-1.0,-1.0,-1
502,-1.0,-1.0,-1.0,-1.0,-1
503,-1.0,-1.0,-1.0,-1.0,-1
504,-1.0,-1.0,-1.0,-1.0,-1
505,-1.0,-1.0,-1.0,-1.0,-1
506,-1.0,-1.0,-1.0,-1.0,-1
507,-1.0,-1.0,-1.0,-1.0,-1
508,-1.0,-1.0,-1.0,-1.0,-1
509,-1.0,-1.0,-1.0,-1.0,-1
510,-1.0,-1.0,-1.0,-1.0,-1
511,-1.0,-1.0,-1.0,-1.0,-1
512,-1.0,-1.0,-1.0,-1.0,-1
513,-1.0,-1.0,-1.0,-1.0,-1
514,-1.0,-1.0,-1.0,-1.0,-1
515,-1.0,-1.0,-1.0,-1.0,-1
516,-1.0,-1.0,-1.0,-1.0,-1
517,-1.0,-1.0,-1.0,-1.0,-1
518,-1.0,-1.0,-1.0,-1.0,-1
519,-1.0,-1.0,-1.0,-1.0,-1
520,-1.0,-1.0,-1.0,-1.0,-1
521,-1.0,-1.0,-1.0,-1.0,-1
522,-1.0,-1.0,-1.0,-1.0,-1
523,-1.0,-1.0,-1.0,-1.0,-1
524,-1.0,-1.0,-1.0,-1.0,-1
525,-1.0,-1.0,-1.0,-1.0,-1
526,-1.0,-1.0,-1.0,-1.0,-1
527,-1.0,-1.0,-1.0,-1.0,-1
528,-1.0,-1.0,-1.0,-1.0,-1
529,-1.0,-1.0,-1.0,-1.0,-1
530,-1.0,-1.0,-1.0,-1.0,-1
531,-1.0,-1.0,-1.0,-1.0,-1
532,-1.0,-1.0,-1.0,-1.0,-1
533,-1.0,-1.0,-1.0,-1.0,-1
534,-1.0,-1.0,-1.0,-1.0,-1
535,-1.0,-1.0,-1.0,-1.0,-1
536,-1.0,-1.0,-1.0,-1.0,-1
537,-1.0,-1.0,-1.0,-1.0,-1
538,-1.0,-1.0,-1.0,-1.0,-1
539,-1.0,-1.0,-1.0,-1.0,-1
540,-1.0,-1.0,-1.0,-1.0,-1
541,-1.0,-1.0,-1.0,-1.0,-1
542,-1.0,-1.0,-1.0,-1.0,-1
543,-1.0,-1.0,-1.0,-1.0,-1
544,-1.0,-1.0,-1.0,-1.0,-1
545,-1.0,-1.0,-1.0,-1.0,-1
546,-1.0,-1.0,-1.0,-1.0,-1
547,-1.0,-1.0,-1.0,-1.0,-1
548,-1.0,-1.0,-1.0,-1.0,-1
549,-1.0,-1.0,-1.0,-1.0,-1
550,-1.0,-1.0,-1.0,-1.0,-1
551,-1.0,-1.0,-1.0,-1.0,-1
552,-1.0,-1.0,-1.0,-1.0,-1
553,-1.0,-1.0,-1.0,-1.0,-1
554,-1.0,-1.0,-1.0,-1.0,-1
